ticker,v,vw,o,c,h,l,t,n
fx_CAEDUSD,684,177.1702,177.16,177.1599,177.16,177.1599,1717418040000,13
fx_CAEDUSD,3002,177,177,177,177,177,1717418160000,2
fx_CAEDUSD,573,177.0096,177.01,177.01,177.01,177.01,1717418400000,2
fx_CAEDUSD,1998,177.3993,177.39,177.41,177.41,177.39,1717418760000,30
fx_CAEDUSD,564,177.3955,177.4082,177.41,177.41,177.4082,1717418820000,13
fx_CAEDUSD,600,177.3336,177.35,177.35,177.3504,177.35,1717418880000,25
fx_CAEDUSD,240,177.278,177.289,177.289,177.289,177.289,1717418940000,10
fx_CAEDUSD,730,177.3036,177.31,177.31,177.31,177.31,1717419000000,9
fx_CAEDUSD,598,177.4,177.35,177.41,177.41,177.35,1717419120000,2
fx_CAEDUSD,827,177.3832,177.41,177.41,177.41,177.41,1717419180000,25
fx_CAEDUSD,514,177.3888,177.41,177.41,177.41,177.41,1717419240000,27
fx_CAEDUSD,254,177.3895,177.39,177.39,177.39,177.39,1717419360000,3
fx_CAEDUSD,1708,177.415,177.41,177.42,177.42,177.41,1717419540000,54
fx_CAEDUSD,300,177.3667,177.4,177.35,177.4,177.35,1717419960000,2
fx_CAEDUSD,4560,177.8264,177.5,178,178,177.5,1717420080000,105
fx_CAEDUSD,884,178.0266,178,178.0001,178.04,178,1717420140000,7
fx_CAEDUSD,4026,178.0613,178.04,178.25,178.25,178,1717420200000,50
fx_CAEDUSD,115,178.2868,178.3099,178.3099,178.3099,178.3099,1717420260000,5
fx_CAEDUSD,478,177.9345,177.91,177.91,177.91,177.91,1717420440000,14
fx_CAEDUSD,1118,177.997,177.98,178,178,177.98,1717420800000,27
fx_CAEDUSD,172,178.1227,178.15,178.15,178.15,178.15,1717420860000,7
fx_CAEDUSD,959,177.9996,178,178,178,178,1717420920000,28
fx_CAEDUSD,564,178.0126,178,178,178,178,1717420980000,6
fx_CAEDUSD,625,178.0006,178,178,178,178,1717421040000,9
fx_CAEDUSD,558,178.0018,178,178,178,178,1717421160000,14
fx_CAEDUSD,384,178.0113,178.0009,178.0009,178.0009,178.0009,1717421220000,11
fx_CAEDUSD,190,178.0205,178,178,178,178,1717421280000,2
fx_CAEDUSD,1572,178.0329,178.01,178.1,178.1,178.01,1717421340000,13
fx_CAEDUSD,105388,178.2698,178.09,178.79,178.98,178.0197,1717421400000,953
fx_CAEDUSD,33697,178.8296,178.74,179.1,179.16,178.3167,1717421460000,469
fx_CAEDUSD,29844,178.9193,179.085,179.14,179.14,178.6867,1717421520000,389
fx_CAEDUSD,40438,179.3768,179.2,179.44,179.75,178.99,1717421580000,436
fx_CAEDUSD,55879,179.8556,179.44,180.16,180.23,179.35,1717421640000,659
fx_CAEDUSD,58046,180.3499,180.24,180.565,180.6,180.17,1717421700000,665
fx_CAEDUSD,47088,180.6185,180.59,180.74,180.87,180.47,1717421760000,700
fx_CAEDUSD,65753,180.7805,180.64,180.99,181.02,180.52,1717421820000,834
fx_CAEDUSD,53115,181.2276,180.95,181.4538,181.46,180.91,1717421880000,653
fx_CAEDUSD,44286,181.8793,181.4,182.39,182.4,181.4,1717421940000,710
fx_CAEDUSD,103170,182.4201,182.4,182.9,182.9,182.025,1717422000000,1236
fx_CAEDUSD,101819,183.0573,182.8001,183.28,183.35,182.69,1717422060000,1004
fx_CAEDUSD,56345,183.2193,183.31,182.96,183.6913,182.86,1717422120000,715
fx_CAEDUSD,40328,182.6923,182.92,182.68,182.955,182.53,1717422180000,720
fx_CAEDUSD,44174,182.9181,182.575,183.205,183.25,182.575,1717422240000,750
fx_CAEDUSD,52529,182.7994,183.17,182.4525,183.23,182.415,1717422300000,771
fx_CAEDUSD,76688,182.6595,182.49,182.64,183.07,182.21,1717422360000,784
fx_CAEDUSD,61297,183.0096,182.64,182.98,183.4399,182.37,1717422420000,785
fx_CAEDUSD,39824,182.8326,183.015,182.62,183.04,182.6,1717422480000,592
fx_CAEDUSD,51066,182.6101,182.61,182.47,182.89,182.4001,1717422540000,806
fx_CAEDUSD,56559,182.4878,182.425,182.5,182.68,182.3301,1717422600000,691
fx_CAEDUSD,49386,182.8426,182.49,183.01,183.05,182.4401,1717422660000,648
fx_CAEDUSD,38072,182.9471,182.93,182.9475,183.07,182.785,1717422720000,538
fx_CAEDUSD,66265,182.9465,182.97,182.84,183.07,182.72,1717422780000,757
fx_CAEDUSD,61307,182.8244,182.785,182.68,183,182.58,1717422840000,838
fx_CAEDUSD,37452,182.5796,182.68,182.78,182.785,182.48,1717422900000,564
fx_CAEDUSD,41695,183.0058,182.7462,182.9172,183.14,182.68,1717422960000,532
fx_CAEDUSD,44988,182.7787,182.85,183,183.04,182.51,1717423020000,665
fx_CAEDUSD,30190,183.0282,182.93,183.15,183.15,182.89,1717423080000,429
fx_CAEDUSD,41452,183.0805,183.0757,182.98,183.15,182.91,1717423140000,449
fx_CAEDUSD,80952,183.4291,182.99,183.69,183.77,182.99,1717423200000,1002
fx_CAEDUSD,37598,183.6269,183.67,183.18,183.88,183.17,1717423260000,580
fx_CAEDUSD,41323,183.0153,183.235,183.28,183.46,182.85,1717423320000,506
fx_CAEDUSD,35225,183.0011,183.2101,183,183.2101,182.83,1717423380000,504
fx_CAEDUSD,66593,182.8398,183,182.705,183,182.6,1717423440000,869
fx_CAEDUSD,30771,182.8358,182.63,182.9101,183.07,182.59,1717423500000,386
fx_CAEDUSD,24120,183.0819,182.98,183.18,183.22,182.8905,1717423560000,410
fx_CAEDUSD,22409,183.1684,183.1001,182.94,183.34,182.8301,1717423620000,382
fx_CAEDUSD,33654,182.4954,182.95,182.18,182.95,182.18,1717423680000,495
fx_CAEDUSD,35656,182.3751,182.18,182.305,182.59,182.02,1717423740000,458
fx_CAEDUSD,23185,182.2556,182.3,182.3701,182.4,182.16,1717423800000,334
fx_CAEDUSD,25572,182.3262,182.39,182.19,182.45,182.1605,1717423860000,279
fx_CAEDUSD,14414,182.2831,182.175,182.41,182.5,182.0295,1717423920000,264
fx_CAEDUSD,16540,182.2184,182.32,182.11,182.3799,182.0361,1717423980000,275
fx_CAEDUSD,11838,182.1381,182.1899,182.26,182.26,182.0301,1717424040000,162
fx_CAEDUSD,6902,182.3236,182.29,182.42,182.42,182.1701,1717424100000,194
fx_CAEDUSD,31805,182.5986,182.4,182.7015,182.89,182.4,1717424160000,408
